Rank,Movie,Year,Movie Rating,Duration,Numerical Rating,Votes
162,Howl's Moving Castle,2004,PG,1h 59m,8.2,422000
163,Raging Bull,1980,R,2h 9m,8.1,368000
164,"Lock, Stock and Two Smoking Barrels",1998,R,1h 47m,8.1,601000
165,The Secret in Their Eyes,2009,R,2h 9m,8.2,217000
166,Inside Out,2015,PG,1h 35m,8.1,751000
167,Prisoners,2013,R,2h 33m,8.1,767000
168,"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55m,8.1,535000
169,The Bridge on the River Kwai,1957,PG,2h 41m,8.1,228000
170,Trainspotting,1996,R,1h 33m,8.1,708000
171,Fargo,1996,R,1h 38m,8.1,701000
172,Warrior,2011,PG-13,2h 20m,8.1,487000
173,Gran Torino,2008,R,1h 56m,8.1,797000
174,Catch Me If You Can,2002,PG-13,2h 21m,8.1,1000000
175,My Neighbor Totoro,1988,G,1h 26m,8.1,360000
176,Million Dollar Baby,2004,PG-13,2h 12m,8.1,706000
177,Klaus,2019,PG,1h 36m,8.2,171000
178,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,8.1,915000
179,Children of Heaven,1997,PG,1h 29m,8.2,78000
180,Blade Runner,1982,R,1h 57m,8.1,799000
181,12 Years a Slave,2013,R,2h 14m,8.1,724000
182,Before Sunrise,1995,R,1h 41m,8.1,327000
183,The Gold Rush,1925,Passed,1h 35m,8.1,115000
184,The Grand Budapest Hotel,2014,R,1h 39m,8.1,855000
185,Ben-Hur,1959,G,3h 32m,8.1,248000
186,Gone Girl,2014,R,2h 29m,8.1,1000000
187,On the Waterfront,1954,Approved,1h 48m,8.1,160000
188,Barry Lyndon,1975,PG,3h 5m,8.1,177000
189,Hacksaw Ridge,2016,R,2h 19m,8.1,564000
190,In the Name of the Father,1993,R,2h 13m,8.1,182000
191,The General,1926,Passed,1h 18m,8.1,95000
192,The Deer Hunter,1978,R,3h 3m,8.1,351000
193,Memories of Murder,2003,Not Rated,2h 12m,8.1,202000
194,Wild Strawberries,1957,Not Rated,1h 31m,8.1,112000
195,The Wages of Fear,1953,Not Rated,2h 11m,8.2,64000
196,The Third Man,1949,Approved,1h 33m,8.1,177000
197,Wild Tales,2014,R,2h 2m,8.1,209000
198,Sherlock Jr.,1924,Passed,45m,8.2,54000
199,Mad Max: Fury Road,2015,R,2h,8.1,1000000
200,Dead Poets Society,1989,PG,2h 8m,8.1,520000
201,Mr. Smith Goes to Washington,1939,Passed,2h 9m,8.1,119000
202,"Monsters, Inc.",2001,G,1h 32m,8.1,947000
203,How to Train Your Dragon,2010,PG,1h 38m,8.1,774000
204,Jaws,1975,PG,2h 4m,8.1,638000
205,Mary and Max,2009,Not Rated,1h 32m,8.1,183000
206,The Seventh Seal,1957,Not Rated,1h 36m,8.1,193000
207,Room,2015,R,1h 58m,8.1,437000
208,The Big Lebowski,1998,R,1h 57m,8.1,837000
